Start,Finish,Steps,Distance,Weight
1/31/2016 0:00,2/1/2016 0:00,1763,0.91562152,
2/1/2016 0:00,2/2/2016 0:00,506,0.222854778,
2/2/2016 0:00,2/3/2016 0:00,2993,1.395382218,
2/3/2016 0:00,2/4/2016 0:00,2792,1.402419817,
2/4/2016 0:00,2/5/2016 0:00,861,0.406171707,
2/5/2016 0:00,2/6/2016 0:00,677,0.336658912,
2/6/2016 0:00,2/7/2016 0:00,1177,0.609527857,
2/7/2016 0:00,2/8/2016 0:00,841,0.439234868,
2/8/2016 0:00,2/9/2016 0:00,489,0.221363487,
2/9/2016 0:00,2/10/2016 0:00,540,0.258384783,
2/10/2016 0:00,2/11/2016 0:00,1282,0.643808906,
2/11/2016 0:00,2/12/2016 0:00,431,0.205568232,
2/12/2016 0:00,2/13/2016 0:00,630,0.326835033,
2/13/2016 0:00,2/14/2016 0:00,2992,1.47566959,
2/14/2016 0:00,2/15/2016 0:00,1083,0.529743796,
2/15/2016 0:00,2/16/2016 0:00,1235,0.584213195,
2/16/2016 0:00,2/17/2016 0:00,630,0.315793267,
2/17/2016 0:00,2/18/2016 0:00,1286,0.634662322,
2/18/2016 0:00,2/19/2016 0:00,1198,0.62883386,
2/19/2016 0:00,2/20/2016 0:00,516,0.262442337,
2/20/2016 0:00,2/21/2016 0:00,2795,1.328640738,
2/21/2016 0:00,2/22/2016 0:00,163,0.091733029,
2/22/2016 0:00,2/23/2016 0:00,878,0.43001372,111.2
2/23/2016 0:00,2/24/2016 0:00,960,0.468091347,
2/24/2016 0:00,2/25/2016 0:00,856,0.361675316,
2/25/2016 0:00,2/26/2016 0:00,1094,0.518223574,
2/26/2016 0:00,2/27/2016 0:00,3078,1.411109123,
2/27/2016 0:00,2/28/2016 0:00,2566,1.216644794,
2/28/2016 0:00,2/29/2016 0:00,2394,1.220932256,
2/29/2016 0:00,3/1/2016 0:00,419,0.179874533,
3/1/2016 0:00,3/2/2016 0:00,733,0.36047607,111.6
3/2/2016 0:00,3/3/2016 0:00,453,0.196545922,
3/3/2016 0:00,3/4/2016 0:00,541,0.254289947,
3/4/2016 0:00,3/5/2016 0:00,846,0.41935099,
3/5/2016 0:00,3/6/2016 0:00,1081,0.553393184,
3/6/2016 0:00,3/7/2016 0:00,623,0.295580062,
3/7/2016 0:00,3/8/2016 0:00,573,0.260721139,
3/8/2016 0:00,3/9/2016 0:00,525,0.21944345,
3/9/2016 0:00,3/10/2016 0:00,481,0.196371938,
3/10/2016 0:00,3/11/2016 0:00,665,0.326288227,
3/11/2016 0:00,3/12/2016 0:00,3002,1.308508311,
3/12/2016 0:00,3/13/2016 0:00,2166,1.039988964,
3/13/2016 0:00,3/14/2016 0:00,1365,0.652756651,
3/14/2016 0:00,3/15/2016 0:00,824,0.38191959,
3/15/2016 0:00,3/16/2016 0:00,682,0.300495109,
3/16/2016 0:00,3/17/2016 0:00,868,0.362035711,
3/17/2016 0:00,3/18/2016 0:00,664,0.300097431,
3/18/2016 0:00,3/19/2016 0:00,576,0.2650086,
3/19/2016 0:00,3/20/2016 0:00,1686,0.82119174,
3/20/2016 0:00,3/21/2016 0:00,1412,0.593334924,
3/21/2016 0:00,3/22/2016 0:00,706,0.304428388,
3/22/2016 0:00,3/23/2016 0:00,721,0.320093156,
3/23/2016 0:00,3/24/2016 0:00,839,0.373698849,
3/24/2016 0:00,3/25/2016 0:00,539,0.256328044,
3/25/2016 0:00,3/26/2016 0:00,584,0.23919684,
3/26/2016 0:00,3/27/2016 0:00,1250,0.527649775,
3/27/2016 0:00,3/28/2016 0:00,2676,1.138786984,
3/28/2016 0:00,3/29/2016 0:00,526,0.237761473,
3/29/2016 0:00,3/30/2016 0:00,611,0.247467291,
3/30/2016 0:00,3/31/2016 0:00,781,0.336317158,
3/31/2016 0:00,4/1/2016 0:00,713,0.304217122,
4/1/2016 0:00,4/2/2016 0:00,501,0.210240943,
4/2/2016 0:00,4/3/2016 0:00,1223,0.554884475,
4/3/2016 0:00,4/4/2016 0:00,2650,1.102697745,111.2
4/4/2016 0:00,4/5/2016 0:00,643,0.247224956,
4/5/2016 0:00,4/6/2016 0:00,1838,0.790682415,
4/6/2016 0:00,4/7/2016 0:00,1162,0.497631345,
4/7/2016 0:00,4/8/2016 0:00,645,0.263678865,
4/8/2016 0:00,4/9/2016 0:00,764,0.30659076,
4/9/2016 0:00,4/10/2016 0:00,5160,2.307492991,
4/10/2016 0:00,4/11/2016 0:00,1249,0.539095433,
4/11/2016 0:00,4/12/2016 0:00,639,0.257558359,
4/12/2016 0:00,4/13/2016 0:00,462,0.182993816,
4/13/2016 0:00,4/14/2016 0:00,598,0.245845512,
4/14/2016 0:00,4/15/2016 0:00,2493,1.145234511,
4/15/2016 0:00,4/16/2016 0:00,562,0.248045166,
4/16/2016 0:00,4/17/2016 0:00,1023,0.441161119,
4/17/2016 0:00,4/18/2016 0:00,348,0.161643502,113
4/18/2016 0:00,4/19/2016 0:00,3353,1.545295247,112.6
4/19/2016 0:00,4/20/2016 0:00,1735,0.82227177,
4/20/2016 0:00,4/21/2016 0:00,2514,1.118587845,
4/21/2016 0:00,4/22/2016 0:00,695,0.294200618,
4/22/2016 0:00,4/23/2016 0:00,5247.26503,2.342180599,
4/23/2016 0:00,4/24/2016 0:00,1443.73497,0.669481295,111.6
4/24/2016 0:00,4/25/2016 0:00,2561,1.126011592,
4/25/2016 0:00,4/26/2016 0:00,555,0.244292084,
4/26/2016 0:00,4/27/2016 0:00,2770,1.283106657,
4/27/2016 0:00,4/28/2016 0:00,715,0.322267955,
4/28/2016 0:00,4/29/2016 0:00,871,0.347035811,
4/29/2016 0:00,4/30/2016 0:00,3812,1.724410692,
4/30/2016 0:00,5/1/2016 0:00,1542,0.700148632,
5/1/2016 0:00,5/2/2016 0:00,1928,0.88060104,
5/2/2016 0:00,5/3/2016 0:00,1501,0.666227979,
5/3/2016 0:00,5/4/2016 0:00,4009,1.807401028,
5/4/2016 0:00,5/5/2016 0:00,739,0.328612155,
5/5/2016 0:00,5/6/2016 0:00,586,0.24515579,
5/6/2016 0:00,5/7/2016 0:00,4399,2.029062773,
5/7/2016 0:00,5/8/2016 0:00,159,0.072576155,
5/8/2016 0:00,5/9/2016 0:00,2180,1.016414141,
5/9/2016 0:00,5/10/2016 0:00,457,0.195073272,
5/10/2016 0:00,5/11/2016 0:00,525,0.20198292,
5/11/2016 0:00,5/12/2016 0:00,2406,1.121575002,
5/12/2016 0:00,5/13/2016 0:00,681,0.300780939,
5/13/2016 0:00,5/14/2016 0:00,743,0.319316442,
5/14/2016 0:00,5/15/2016 0:00,1885,0.825274149,
5/15/2016 0:00,5/16/2016 0:00,979,0.447076573,
5/16/2016 0:00,5/17/2016 0:00,483,0.207382635,
5/17/2016 0:00,5/18/2016 0:00,2257,1.047569693,
5/18/2016 0:00,5/19/2016 0:00,531,0.227104957,
5/19/2016 0:00,5/20/2016 0:00,466,0.208345761,112.2
5/20/2016 0:00,5/21/2016 0:00,650,0.294902768,
5/21/2016 0:00,5/22/2016 0:00,6774,3.072351219,
5/22/2016 0:00,5/23/2016 0:00,1371,0.600393701,111.8
5/23/2016 0:00,5/24/2016 0:00,526,0.210986588,
5/24/2016 0:00,5/25/2016 0:00,636,0.282891663,
5/25/2016 0:00,5/26/2016 0:00,1047,0.471150222,
5/26/2016 0:00,5/27/2016 0:00,1291,0.601108278,
5/27/2016 0:00,5/28/2016 0:00,1204,0.521075668,
5/28/2016 0:00,5/29/2016 0:00,1692,0.737350125,112.8
5/29/2016 0:00,5/30/2016 0:00,544,0.245429194,
5/30/2016 0:00,5/31/2016 0:00,2090,0.94838021,
5/31/2016 0:00,6/1/2016 0:00,515,0.205344538,
6/1/2016 0:00,6/2/2016 0:00,703,0.264654418,
6/2/2016 0:00,6/3/2016 0:00,852,0.382435328,
6/3/2016 0:00,6/4/2016 0:00,597,0.25396062,
6/4/2016 0:00,6/5/2016 0:00,1873,0.81478508,
6/5/2016 0:00,6/6/2016 0:00,268,0.123565875,112.2
6/6/2016 0:00,6/7/2016 0:00,1251,0.548919311,
6/7/2016 0:00,6/8/2016 0:00,859,0.378141653,
6/8/2016 0:00,6/9/2016 0:00,783,0.335844916,
6/9/2016 0:00,6/10/2016 0:00,533,0.236338533,
6/10/2016 0:00,6/11/2016 0:00,1987,0.903796827,
6/11/2016 0:00,6/12/2016 0:00,843,0.355267538,111.8
6/12/2016 0:00,6/13/2016 0:00,971,0.417331534,
6/13/2016 0:00,6/14/2016 0:00,473,0.208414112,
6/14/2016 0:00,6/15/2016 0:00,996,0.413509122,
6/15/2016 0:00,6/16/2016 0:00,604,0.26621406,
6/16/2016 0:00,6/17/2016 0:00,550,0.241427563,
6/17/2016 0:00,6/18/2016 0:00,1092,0.499680355,
6/18/2016 0:00,6/19/2016 0:00,8058,3.713368777,
6/19/2016 0:00,6/20/2016 0:00,2279,1.026654339,
6/20/2016 0:00,6/21/2016 0:00,3718,1.701643101,
6/21/2016 0:00,6/22/2016 0:00,585,0.259584029,
6/22/2016 0:00,6/23/2016 0:00,781,0.334844508,
6/23/2016 0:00,6/24/2016 0:00,1305,0.569053357,
6/24/2016 0:00,6/25/2016 0:00,2823,1.257778757,
6/25/2016 0:00,6/26/2016 0:00,2345,1.059171205,
6/26/2016 0:00,6/27/2016 0:00,2163,0.922955194,
6/27/2016 0:00,6/28/2016 0:00,4183,1.973071532,
6/28/2016 0:00,6/29/2016 0:00,952,0.417132695,
6/29/2016 0:00,6/30/2016 0:00,4256,1.98442368,
6/30/2016 0:00,7/1/2016 0:00,1048,0.468277758,
7/1/2016 0:00,7/2/2016 0:00,2468,1.073524368,
7/2/2016 0:00,7/3/2016 0:00,1458,0.634830092,
7/3/2016 0:00,7/4/2016 0:00,821,0.373698849,
7/4/2016 0:00,7/5/2016 0:00,272,0.115767667,
7/5/2016 0:00,7/6/2016 0:00,465,0.214310924,
7/6/2016 0:00,7/7/2016 0:00,1199,0.531913247,
